name,amenity,dist_to_park_m,risk_level
Kinderladen Pippi Langstrumpf,kindergarten,20.731000459945726,Low
Umka,kindergarten,35.703496770779026,Low
Hort der Evangelische Schule Berlin-Mitte,kindergarten,176.73426733541217,Medium
Evangelische Kita Zion,kindergarten,78.86526382760243,Low
Casa Fantasia,kindergarten,158.0449469510612,Medium
Kita Französische Straße,kindergarten,239.77134012776594,Medium
Kindertagesstätte Pelikan,kindergarten,171.83125462063958,Medium
Kita Oase,kindergarten,171.2746110233094,Medium
,school,243.287403263675,Medium
Kindergarten Veteranenstraße 10,kindergarten,14.405592852731175,Low
be smart academy,kindergarten,151.2418364977191,Medium
Deutsch-Institut Berlin,school,206.23040994019843,Medium
kinderinsel,kindergarten,39.389359390704676,Low
Kinderinsel MITTEndrin,kindergarten,7.066920249483587,Low
Waldorfkindergarten Fliederhof,kindergarten,146.9226557379644,Low
Kinderladen Klein und Stark,kindergarten,20.43189543888087,Low
Schule bei der Botschaft der Russischen Föderation,school,20.836933731621578,Low
Rappelkiste,kindergarten,21.544472514495215,Low
Kinderladen Rosenthaler Vorstadt,kindergarten,39.20378192478567,Low
Kita am Alex,kindergarten,18.18828493931423,Low
Kita Spreefeld,kindergarten,271.87856983052086,Medium
Casa Azul Maison Bleue,kindergarten,90.4230143373749,Low
Berlinchen,kindergarten,10.002275464538448,Low
Berlin Cosmopolitan School,school,132.29967988411505,Low
Mal- und Zeichenschule Prib,school,105.23680867654026,Low
Kleiner Fratz,kindergarten,139.3541753338442,Low
Kita Feuerfalter,kindergarten,24.926210600922264,Low
Alegria,kindergarten,236.2703966770861,Medium
Waldorfkindergarten Fliederhof Gruppe Zwergenreich,kindergarten,70.79344476608422,Low
Kinderladen,kindergarten,27.983650451876173,Low
Evangelische Schule Berlin Zentrum,school,141.83005327348374,Low
St. Hedwig-Krankenhaus,hospital,39.03541912786817,Low
Bundeswehrkrankenhaus Berlin,hospital,30.505039184065165,Low
Kita Weydemeyerstraße,kindergarten,40.18033940915288,Low
Charlotte-Pfeffer-Schule,school,115.03283786870618,Low
Papageno-Grundschule,school,82.64679147463889,Low
,kindergarten,11.802360067117302,Low
City-Grundschule,school,33.23682722083868,Low
Vibra School of DJing,school,6.785555813500017,Low
Max-Planck-Gymnasium,school,63.102676852848916,Low
Freie Waldorfschule Berlin-Mitte,school,92.96639469774463,Low
John-Lennon-Gymnasium,school,145.08206773765926,Low
Grundschule am Koppenplatz (Standort Bergstraße),school,38.81803176289373,Low
Grundschule am Brandenburger Tor,school,100.57983061023569,Low
Grundschule am Arkonaplatz,school,84.54136730586617,Low
Berlin Metropolitan School,school,207.59946079318024,Medium
Kindergarten Jerusalemer Straße 10/12,kindergarten,49.10876088732338,Low
Kindergarten Gartenstraße 107,kindergarten,144.73837526664764,Low
Kindergarten Fürstenberger Straße,kindergarten,124.34724651854307,Low
Fröbel-Kindergarten Schatzinsel,kindergarten,37.297888461609375,Low
Evangelische Schule Berlin-Mitte,school,153.42112320420733,Medium
Kastanienbaum-Grundschule,school,59.084967572719115,Low
Kita Lichtenberger Straße 32/33,kindergarten,59.740574619717606,Low
,kindergarten,87.89624736970255,Low
Kita Wasserflöhe,kindergarten,30.066231305880958,Low
Grundschule am Koppenplatz (Standort Koppenplatz),school,41.82658746418472,Low
Hemingway-Schule,school,23.76047067065397,Low
Musikgymnasium Carl Philipp Emanuel Bach,school,139.80400744722823,Low
BCS Kindergarten,kindergarten,18.379577527077323,Low
Kita Jacoby-Schwalbe,kindergarten,25.831022557365184,Low
Regenbogenkita,kindergarten,116.15668866316766,Low
Kita Pelikan,kindergarten,77.94553331454631,Low
Kita Habersaathstraße,kindergarten,53.276400573264006,Low
Kita F.A.I.R. play,kindergarten,88.05465438003624,Low
Kita Kinderakademie,kindergarten,47.275955276963224,Low
Evangelische Kita Sophien,kindergarten,150.52490882650315,Medium
Kita Pfiffikus,kindergarten,75.30417949822989,Low
Fröbel-Kindergarten mittendrin,kindergarten,189.88323772626615,Medium
Campus Charité Mitte,hospital,14.918579308177923,Low
Grundschule Neues Tor,school,37.423248702192126,Low
Kita Fridolin,kindergarten,75.32747037192846,Low
Berlin Cosmopolitan School,school,152.4457865366825,Medium
Kita Pusteblume,kindergarten,36.11177599335907,Low
Villa Murkelmeier,kindergarten,30.368644273732958,Low
Kita Trauminsel,kindergarten,77.67428402142588,Low
49. Grundschule Mitte - Luisenstadt,school,166.49557732593382,Medium
Kita Kinderwelt,kindergarten,91.92824116733325,Low
GutsMuths-Grundschule,school,43.011536946771784,Low
Evangelische Kita St. Elisabeth,kindergarten,17.418507635318974,Low
Kita Schwedter Straße,kindergarten,132.80951298448937,Low
Jüdisches Gymnasium Moses Mendelssohn,school,98.35766208892517,Low
Kita Schmidchen,kindergarten,120.03844933978483,Low
Kita Kleine Auguststraße,kindergarten,83.55905216098463,Low
,kindergarten,160.6080908385433,Medium
Die Lupe - Kita an der HU,kindergarten,19.119833431144162,Low
Grundschule am Koppenplatz (Standort Auguststraße),school,95.3921332204903,Low
Kindergarten Traumzauberbaum,kindergarten,33.027939547397686,Low
